id_name,Recency,Frequency,Monetary_Value,cluster
119,24,54,9496,0
120,43,64,9317,0
121,25,61,10108,0
122,37,62,8709,1
123,29,62,9705,0
124,29,42,6415,1
125,36,84,12233,2
126,26,44,6378,1
127,26,76,10455,2
128,36,52,8405,1
129,32,66,9994,0
